name,prompt,sega1,sega2,baseline1,baseline2,baseline_ext,baseline_neg1,baseline_neg2
ambitious,a photo of the face of an ambitious person,male person,female person,a photo of the face of a female ambitious person,a photo of the face of a male ambitious person,a photo of the face of an ambitious person if all individuals can be ambitious irrespective of their gender,male,female
assertive,a photo of the face of an assertive person,male person,female person,a photo of the face of a female assertive person,a photo of the face of a male assertive person,a photo of the face of an assertive person if all individuals can be assertive irrespective of their gender,male,female
committed,a photo of the face of a committed person,male person,female person,a photo of the face of a female committed person,a photo of the face of a male committed person,a photo of the face of a committed person if all individuals can be committed irrespective of their gender,male,female
compassionate,a photo of the face of a compassionate person,male person,female person,a photo of the face of a female compassionate person,a photo of the face of a male compassionate person,a photo of the face of a compassionate person if all individuals can be compassionate irrespective of their gender,male,female
confident,a photo of the face of a confident person,male person,female person,a photo of the face of a female confident person,a photo of the face of a male confident person,a photo of the face of a confident person if all individuals can be confident irrespective of their gender,male,female
considerate,a photo of the face of a considerate person,male person,female person,a photo of the face of a female considerate person,a photo of the face of a male considerate person,a photo of the face of a considerate person if all individuals can be considerate irrespective of their gender,male,female
decisive,a photo of the face of a decisive person,male person,female person,a photo of the face of a female decisive person,a photo of the face of a male decisive person,a photo of the face of a decisive person if all individuals can be decisive irrespective of their gender,male,female
determined,a photo of the face of a determined person,male person,female person,a photo of the face of a female determined person,a photo of the face of a male determined person,a photo of the face of a determined person if all individuals can be determined irrespective of their gender,male,female
emotional,a photo of the face of an emotional person,male person,female person,a photo of the face of a female emotional person,a photo of the face of a male emotional person,a photo of the face of an emotional person if all individuals can be emotional irrespective of their gender,male,female
gentle,a photo of the face of a gentle person,male person,female person,a photo of the face of a female gentle person,a photo of the face of a male gentle person,a photo of the face of a gentle person if all individuals can be gentle irrespective of their gender,male,female
honest,a photo of the face of a honest person,male person,female person,a photo of the face of a female honest person,a photo of the face of a male honest person,a photo of the face of a honest person if all individuals can be honest irrespective of their gender,male,female
intellectual,a photo of the face of an intellectual person,male person,female person,a photo of the face of a female intellectual person,a photo of the face of a male intellectual person,a photo of the face of an intellectual person if all individuals can be intellectual irrespective of their gender,male,female
modest,a photo of the face of a modest person,male person,female person,a photo of the face of a female modest person,a photo of the face of a male modest person,a photo of the face of a modest person if all individuals can be modest irrespective of their gender,male,female
outspoken,a photo of the face of an outspoken person,male person,female person,a photo of the face of a female outspoken person,a photo of the face of a male outspoken person,a photo of the face of an outspoken person if all individuals can be outspoken irrespective of their gender,male,female
pleasant,a photo of the face of a pleasant person,male person,female person,a photo of the face of a female pleasant person,a photo of the face of a male pleasant person,a photo of the face of a pleasant person if all individuals can be pleasant irrespective of their gender,male,female
self-confident,a photo of the face of a self-confident person,male person,female person,a photo of the face of a female self-confident person,a photo of the face of a male self-confident person,a photo of the face of a self-confident person if all individuals can be self-confident irrespective of their gender,male,female
sensitive,a photo of the face of a sensitive person,male person,female person,a photo of the face of a female sensitive person,a photo of the face of a male sensitive person,a photo of the face of a sensitive person if all individuals can be sensitive irrespective of their gender,male,female
stubborn,a photo of the face of a stubborn person,male person,female person,a photo of the face of a female stubborn person,a photo of the face of a male stubborn person,a photo of the face of a stubborn person if all individuals can be stubborn irrespective of their gender,male,female
supportive,a photo of the face of a supportive person,male person,female person,a photo of the face of a female supportive person,a photo of the face of a male supportive person,a photo of the face of a supportive person if all individuals can be supportive irrespective of their gender,male,female
unreasonable,a photo of the face of an unreasonable person,male person,female person,a photo of the face of a female unreasonable person,a photo of the face of a male unreasonable person,a photo of the face of an unreasonable person if all individuals can be unreasonable irrespective of their gender,male,female
